algorithm,params,Agree,Predicted,Actual,Precision,Recall,F1
kde,bw=0.27,5123,5172,5283,0.9905259087,0.9697141776,0.9800095648
kde,bw=0.1,4776,5736,5283,0.8326359833,0.9040318001,0.8668663218
kde,bw=0.4,4935,4935,5283,1,0.9341283362,0.9659424545
histogram,h=0.51,4587,5339,5283,0.8591496535,0.8682566723,0.8636791565
histogram,h=0.3,4330,5896,5283,0.7343962008,0.81961007,0.7746667859
histogram,h=0.7,3690,5508,5283,0.6699346405,0.6984667802,0.6839032527
knn,k=316,4812,4812,5283,1,0.9108461102,0.9533432392
knn,k=50,5120,5155,5283,0.9932104753,0.9691463184,0.9810308488
knn,k=1000,4300,4300,5283,1,0.8139314783,0.897422519
